Down,Dist,Field Pos,Gain,Quarter,pff_CLOCK,pff_SCORE,pff_SCOREDIFFERENTIAL,pts
4,6,29,46,1,13:13,0,0,3
4,21,31,48,2,12:56,0.17,17,3
4,8,8,26,2,2:21,7.2,13,3
4,13,19,36,2,6:31,0.07,7,0
4,8,23,40,4,13:30,21.1,11,3
4,5,20,38,3,6:27,13.07,-6,3
4,14,14,32,1,0:50,7,-7,3
4,1,41,59,4,0:24,34.24,-10,0
4,5,10,27,1,8:19,3,-3,3
4,8,28,45,2,14:16,6.03,-3,3
4,6,6,23,2,6:46,6.13,7,-7
4,16,28,46,2,14:56,0,0,3
4,9,24,43,5,9:40,24.24,0,3
4,10,19,37,1,4:44,3,-3,3
4,4,16,34,2,2:05,10.1,0,3
4,8,28,46,4,14:11,13.13,0,3
4,2,2,20,2,9:50,10.14,4,3
4,5,11,29,3,0:20,20.17,-3,3
4,8,11,29,4,10:50,28.1,18,3
4,19,33,51,2,0:58,3.28,25,3
4,2,20,38,3,5:08,17.38,21,0
4,5,15,33,4,10:41,17.38,21,3
4,4,22,40,1,11:26,0,0,0
4,8,8,26,3,2:17,14.27,13,3
4,4,6,24,2,9:50,7.07,0,3
4,4,10,28,4,13:09,24.07,-17,0
4,10,26,43,2,14:11,0,0,3
4,6,18,36,3,8:39,10.07,3,3
4,23,33,50,4,10:11,13.17,-4,0
4,8,17,34,4,11:47,0.52,52,3
4,8,19,36,2,2:48,21.14,-7,3
4,1,4,20,3,4:55,13.07,-6,3
4,8,17,34,1,12:17,0,0,3
4,15,15,32,1,0:57,3.03,0,3
4,2,22,39,2,0:05,20.13,7,3
4,3,4,22,4,2:30,31.24,7,3
4,2,4,21,1,11:24,0,0,3
4,11,11,27,2,13:02,7.03,-4,0
4,3,29,46,2,0:11,10.1,0,3
4,7,12,29,3,11:30,10.13,3,3
4,10,17,34,1,8:32,0,0,0
4,5,23,40,2,13:03,0,0,3
4,10,16,33,2,0:32,7.03,-4,3
4,5,23,40,3,0:30,14.06,-8,3
4,8,21,38,2,1:38,7.14,-7,3
4,5,14,32,3,0:06,17.14,3,3
4,4,14,31,4,11:49,20.14,6,3
4,7,30,47,4,2:48,30.22,8,0
4,7,26,42,1,11:26,0,0,3
4,6,24,41,4,11:19,17.14,3,0
4,8,19,36,2,2:48,21.14,-7,3
4,8,19,36,2,2:48,21.14,-7,3
4,5,19,36,1,10:50,0,0,3
4,1,4,21,2,0:02,10.13,-3,3
4,8,12,29,3,8:45,13.13,0,0
4,26,27,44,1,6:22,3,-3,3
4,6,30,47,2,14:27,3.03,0,-7
4,7,9,26,2,2:46,10.03,-7,3
4,5,19,36,1,10:50,0,0,3
4,1,4,21,2,0:02,10.13,-3,3
4,6,6,24,1,4:19,0.07,-7,3
4,31,44,54,3,7:32,10.28,-18,3
4,16,18,35,3,2:46,14.21,7,3
4,1,1,18,1,7:29,0,0,3
4,3,22,39,2,10:46,10,10,3
4,9,14,31,3,11:12,3,-3,3
4,10,10,27,1,3:23,0.03,-3,3
4,23,33,50,4,5:20,38.13,25,3
4,2,2,19,1,3:43,7,7,3
4,16,36,53,4,7:19,6.24,18,0
4,9,14,31,3,11:12,3,-3,3
4,6,16,33,1,8:14,0,0,3
4,5,15,32,2,10:16,3.14,-11,3
4,4,4,21,3,3:37,13.24,-11,3
4,1,1,18,1,7:29,0,0,3
4,3,22,39,2,10:46,10,10,3
4,9,36,53,1,6:54,0,0,-3
4,1,4,21,3,9:57,6.14,8,3
4,2,13,30,2,3:11,10.07,-3,-7
4,19,19,36,3,11:37,10.17,-7,3
4,19,20,37,4,14:12,13.2,-7,3
4,4,17,34,4,3:05,18.27,-9,3
4,14,34,51,1,7:13,0,0,3
4,5,10,27,2,2:59,12.1,-2,3
4,20,20,37,3,4:23,12.13,1,3
4,8,18,35,4,6:24,19.16,-3,3
4,6,6,23,3,5:00,3.07,4,3
4,3,27,44,3,9:41,14.14,0,-7
4,12,19,36,2,0:48,21,-21,3
4,13,32,49,3,3:16,21.17,4,3
4,8,21,38,4,6:53,24.17,7,3
4,7,7,25,2,7:51,7.14,7,3
4,14,34,51,1,7:13,0,0,3
4,5,10,27,2,2:59,12.1,-2,3
4,20,20,37,3,4:23,12.13,1,3
4,8,18,35,4,6:24,19.16,-3,3
4,19,19,36,3,11:37,10.17,-7,3
4,19,20,37,4,14:12,13.2,-7,3
4,4,17,34,4,3:05,18.27,-9,3
4,7,7,25,2,4:05,0.07,-7,3
4,4,4,22,1,6:55,0,0,3
4,10,25,42,2,0:05,10.21,-11,3
4,3,3,21,2,1:13,7,7,3
4,7,8,25,4,8:26,24,24,3
4,5,15,32,1,7:05,0,0,3
4,3,4,21,4,14:21,17.2,-3,3
4,4,4,21,2,15:00,7.07,0,0
4,6,6,23,3,11:39,7.17,-10,3
4,9,23,40,1,9:34,0,0,3
4,2,16,34,1,13:29,0,0,3
4,10,23,41,1,0:36,7,-7,3
4,11,16,34,3,8:30,14.24,10,3
4,9,15,32,4,13:05,21.27,6,3
4,9,14,30,4,8:12,7.07,0,3
4,10,18,35,2,0:08,7.1,-3,3
4,5,7,24,2,1:16,14.14,0,3
4,2,27,44,2,0:04,14.17,3,7
4,2,2,19,3,9:15,14,14,3
4,6,6,24,3,5:35,17,17,3
4,9,19,36,4,11:54,20.07,13,3
4,7,15,33,1,3:18,7,-7,3
4,20,26,43,3,0:58,14.17,3,0
4,12,22,40,2,0:26,13.07,6,3
4,3,26,44,4,9:04,16.21,-5,0
4,5,30,47,3,2:56,28.17,11,3
4,10,13,30,4,6:06,51.24,27,-7
4,24,35,52,4,9:25,28.13,15,0
4,3,23,40,1,2:07,0.07,-7,3
4,3,24,41,2,11:55,3.07,-4,3
4,16,26,43,3,11:57,6.28,-22,3
4,13,26,43,2,0:04,7.24,-17,3
4,3,3,21,2,4:42,0.16,-16,3
4,8,29,46,4,6:32,7.28,-21,0
4,8,31,48,3,5:21,17.1,-7,3
4,6,20,37,1,11:14,0,0,3
4,2,2,19,2,11:55,7.1,3,3
4,9,23,40,2,6:40,7.07,0,3
4,3,17,34,4,14:57,17.14,3,3
4,10,24,34,2,1:48,14,14,0
4,6,6,23,3,8:03,14,14,3
4,2,3,20,3,3:12,17,17,3
4,22,23,40,2,10:45,14.03,11,0
4,6,30,47,2,1:50,28.03,25,0
4,14,28,45,4,2:58,42.1,32,3
4,4,18,35,2,2:37,0.07,-7,-3
4,7,21,38,2,0:29,3.07,4,3
4,1,26,42,4,2:41,21.23,-2,3
4,4,19,36,4,0:42,24.23,1,3
4,18,18,35,1,10:43,0,0,3
4,6,21,38,2,1:22,3.1,7,3
4,2,15,32,3,12:07,6.13,7,3
4,7,30,47,4,5:13,16.37,21,3
4,4,4,21,2,8:42,14,-14,3
4,10,15,32,1,4:08,0,0,0
4,8,13,30,1,6:42,0,0,3
4,2,8,25,4,3:35,30.10,20,0
4,12,29,46,1,9:57,0,0,3
4,14,16,33,1,6:30,3,3,3
4,2,9,26,2,11:35,13,13,0
4,7,30,47,2,1:30,20,20,-7
4,5,9,26,4,8:00,42.21,21,3
4,7,25,42,1,0:13,3,-3,3
4,5,17,35,2,2:08,10.03,-7,3
4,6,20,37,4,2:17,20.2,0,3
4,3,13,30,3,10:07,7.21,-14,3
4,3,13,30,3,10:07,7.21,-14,3
4,3,12,29,4,7:54,19.42,23,0
4,6,6,24,2,0:14,21.17,4,0
4,8,8,26,1,3:04,7,-7,-7
4,7,7,24,3,1:27,14.14,0,3
4,4,4,21,3,11:01,28.1,18,3
4,1,7,25,4,6:13,38.31,7,3
4,5,5,23,1,13:26,0,0,3
4,4,30,48,1,8:57,3,-3,3
4,7,7,24,2,0:01,17.03,-14,3
4,1,1,18,4,0:04,40.4,0,3
4,7,7,25,1,5:31,3,-3,3
4,14,37,55,2,4:27,17.1,-7,3
4,6,12,30,3,11:09,17.2,3,3
4,5,32,50,3,9:06,17.23,6,3
4,9,34,52,4,10:51,17.26,9,0
4,14,14,32,4,5:31,17.26,9,0
4,10,10,28,2,14:08,14.07,7,3
4,4,6,24,4,9:07,24.14,10,3
4,9,17,35,1,10:56,0,0,3
4,8,8,26,2,11:51,3.03,0,3
4,17,31,49,2,0:09,6.06,0,3
4,11,11,29,3,3:03,16.13,3,3
4,9,18,36,4,14:19,19.13,6,3
4,7,11,30,1,8:08,0,0,3
4,12,22,40,1,6:38,0,0,3
4,3,20,38,2,15:00,0.03,3,3
4,1,19,37,3,1:05,28.14,14,0
4,15,31,49,2,0:18,20.07,13,0
4,3,13,31,2,1:06,0.28,28,0
4,14,21,39,3,6:41,7.07,0,3
4,2,17,35,1,3:47,0,0,3
4,4,8,26,1,0:13,3,3,3
4,8,30,48,3,5:46,16.03,13,3
4,18,26,43,2,1:15,28,28,3
4,1,16,33,3,4:05,45.03,42,3
4,2,21,38,2,1:43,14.14,0,0
4,18,26,43,4,4:43,35.28,-7,3
4,18,26,43,4,4:43,35.28,-7,3
4,6,12,30,2,5:09,7.07,0,3
4,3,27,45,3,10:58,17.07,10,3
4,5,10,27,3,2:00,27.07,20,3
4,1,15,31,1,5:58,0.03,-3,3
4,1,9,26,2,0:03,3.13,-10,3
4,4,22,39,3,9:35,6.16,-10,3
4,13,21,38,2,2:04,6.03,3,3
4,10,18,35,2,0:04,9.03,6,0
4,9,22,39,4,10:40,16.17,-1,3
4,10,22,39,4,0:10,19.2,-1,0
4,6,9,27,2,8:43,3.07,4,3
4,3,6,24,2,0:26,3.10,7,-7
4,5,5,24,3,8:02,10.1,0,3
4,10,22,39,2,8:26,7.07,0,3
4,13,28,45,3,5:41,17.14,3,-7
4,8,18,35,1,10:25,0,0,3
4,17,17,34,1,1:55,0,0,3
4,9,23,40,2,8:50,7,-7,-3
4,6,25,43,3,12:34,38.24,-14,3
4,3,12,30,4,5:02,43.54,11,3
4,4,4,22,1,0:39,13,13,3
4,10,10,28,3,6:19,10.21,11,3
4,6,9,27,4,7:04,10.31,21,3
4,1,13,31,2,14:16,14,14,3
4,14,14,32,3,2:54,43.07,36,3
4,10,10,27,1,11:08,0,0,3
4,3,7,25,4,7:27,19.17,-2,3
4,6,6,24,1,2:52,0.03,-3,3
4,3,21,39,2,13:22,3.03,0,3
4,13,16,34,1,4:42,14,-14,0
4,16,32,50,3,11:13,14,-14,-7
4,4,11,29,3,7:36,19.21,2,3
4,10,10,28,3,6:19,10.21,11,3
4,5,10,29,2,7:32,21,21,3
4,4,33,51,4,13:37,44.07,37,0
4,3,9,27,4,10:02,44.07,37,3
4,10,21,39,4,0:59,47.07,40,3
4,3,23,41,1,12:19,0,0,3
4,7,7,25,3,2:53,38.17,21,3
4,17,23,42,1,8:03,7,-7,3
4,9,30,48,1,1:33,6,-6,-7
4,19,28,38,3,2:37,26.14,-12,3
4,4,8,26,1,11:33,0,0,3
4,4,20,38,3,2:16,17.13,4,3
4,3,3,21,2,3:53,14.14,0,3
4,3,11,30,4,9:45,24.24,0,3
4,2,30,48,1,2:45,7,-7,0
4,4,24,42,3,9:40,21.14,-7,3
4,1,25,43,4,0:06,27.24,-3,0
4,17,23,42,1,8:03,7,-7,3
4,9,30,48,1,1:33,6,-6,-7
4,19,28,38,3,2:37,26.14,-12,3
4,12,31,48,2,1:35,14.03,11,3
4,5,19,36,1,9:35,0,0,3
4,5,19,36,1,9:35,0,0,3
4,6,19,36,2,12:25,14.07,-7,3
4,8,9,27,1,8:38,7,-7,3
4,7,16,34,3,1:42,14.28,14,3
4,11,19,37,4,4:50,14.06,8,3
4,8,23,41,4,5:34,28.1,18,3
4,4,25,42,2,3:19,14.1,-4,3
4,10,39,9,4,12:50,21.07,-14,-7
4,9,28,46,1,5:54,14,-14,0
4,5,18,37,1,3:55,14,-14,0
4,15,15,33,2,14:22,14,-14,3
4,8,34,52,3,4:38,14.06,8,-3
4,15,15,33,2,14:22,14,-14,3
4,10,10,28,2,1:16,14,-14,3
4,6,6,24,3,6:06,21.03,-18,3
4,7,31,49,4,4:38,21.59,-38,0
4,9,32,50,1,9:59,0.07,7,-7
4,4,31,49,2,7:30,3.07,4,3
4,5,24,42,3,11:36,10.1,0,3
4,6,38,56,4,15:00,20.13,-7,3
4,8,26,43,4,8:02,14.28,-14,3
4,13,29,47,2,3:51,3.07,4,0
4,15,37,55,2,0:21,3.07,4,0
4,6,27,45,4,1:46,17.21,4,3
4,8,25,43,2,7:21,14,14,-7
4,2,12,30,4,11:14,28.14,14,3
4,5,24,42,1,12:24,0.07,-7,3
4,5,15,33,2,1:18,10.07,-3,0
4,4,28,46,1,6:51,0,0,3
4,8,26,43,4,8:02,14.28,-14,3
4,4,4,22,1,11:23,0,0,3
4,1,16,33,4,10:33,31.13,18,3
4,11,25,43,1,0:29,14,14,0
4,9,28,46,1,9:58,0,0,3
4,8,17,34,2,12:28,14.03,-11,3
4,15,29,46,4,13:41,49.13,-36,3
4,7,16,,3,5:02,44,-44,-7
4,5,5,22,1,9:05,0,0,3
4,9,24,41,2,1:39,7.1,-3,0
4,10,13,30,2,0:41,7.1,-3,3
4,7,25,42,3,5:20,17.19,-2,3
4,10,24,42,4,11:13,27.19,8,3
4,13,27,45,2,14:04,0.03,-3,3
4,3,28,46,2,4:52,3.1,-7,0
4,13,13,31,2,2:45,0.21,21,0
4,10,38,56,3,3:34,42,42,0
4,4,24,42,2,0:48,14.14,0,3
4,15,28,46,1,11:38,0,0,0
4,3,13,31,3,9:44,44.21,-23,0
4,4,21,39,4,10:03,28.17,11,3
4,4,4,23,3,0:20,14.38,-24,3
4,11,22,39,3,9:35,14.07,-7,3
4,11,22,39,3,9:35,14.07,-7,3
4,8,13,30,3,0:58,46.07,-39,3
4,12,32,50,1,1:55,7.03,4,-3
4,12,12,30,2,3:06,7.1,-3,3
4,13,13,30,3,3:40,10.16,-6,3
4,11,15,33,1,0:14,7.07,0,0
4,8,10,26,2,10:13,0.18,-18,-7
4,22,31,48,3,12:51,7.39,-32,3
4,8,8,25,1,6:13,0,0,3
4,2,21,38,3,5:12,17.1,7,-7
4,1,14,32,4,1:59,31.24,7,0
4,5,33,50,2,7:54,7,7,3
4,14,34,51,3,0:52,17,17,0
4,7,7,24,4,9:03,24,24,3
4,5,8,25,2,8:40,17.14,-3,3
4,6,17,34,2,2:11,17.17,0,3
4,2,20,37,2,0:47,17.2,3,3
4,10,10,27,1,9:34,0,0,0
4,12,14,31,1,5:33,0,0,3
4,8,25,43,2,3:15,0.1,-10,3
4,12,20,1,3,0:30,3.24,-21,0
4,16,16,34,2,11:38,3.07,4,3
4,7,11,29,3,10:49,3.17,14,3
4,8,8,26,4,6:45,3.2,17,3
4,9,19,37,3,10:06,42,42,3
4,8,17,34,2,14:55,7,7,3
4,8,24,41,1,10:26,0,0,3
4,2,14,30,2,11:18,7.07,0,3
4,8,10,27,4,9:37,10.14,-4,3
4,2,12,30,2,11:56,0,0,3
4,1,14,32,4,9:32,0.1,10,0
4,10,27,44,1,11:41,0,0,3
4,14,16,33,3,8:24,17.17,0,3
4,2,15,32,4,1:43,27.27,0,3
4,20,24,41,3,10:56,14.07,7,3
4,10,27,44,1,11:41,0,0,3
4,14,16,33,3,8:24,17.17,0,3
4,2,15,32,4,1:43,27.27,0,3
4,3,16,33,1,3:13,3.07,4,3
4,8,28,45,2,8:24,3.1,7,3
4,7,29,46,4,14:57,30.2,-10,0
4,3,3,,,,,,
,,,,,,,,