Down,Dist,Field Pos,Gain,Quarter,pff_CLOCK,pff_SCORE,pff_SCOREDIFFERENTIAL,pts_next_poss
4,1,18,0,2,6:26,7.14,7,-3
4,21,-19,9,4,1:38,30.22,-8,0
4,2,34,11,4,10:49,20.2,0,7
4,1,-48,0,3,2:49,17.14,3,-7
4,4,30,,2,7:10,7.14,-7,0
4,4,38,14,3,7:18,7.35,-28,0
4,7,-23,0,4,2:20,13.23,-10,7
4,1,-30,1,4,10:43,21.21,0,-7
4,1,39,37,4,1:55,28.21,-7,7
4,10,34,0,4,0:02,46.1,-36,0
4,2,17,-3,1,10:11,0,0,0
4,1,-28,2,4,3:07,14.1,-4,7
4,10,28,11,4,1:19,14.1,-4,7
4,4,28,-1,1,0:05,0.21,-21,-7
4,7,30,0,3,0:41,0.52,-52,-3
4,1,-47,21,1,1:28,13.05,-8,0
4,1,32,3,3,6:37,7.14,-7,7
4,3,42,0,2,0:06,21.1,-11,0
4,15,-44,,4,0:35,55.52,-3,0
4,8,38,2,1,0:46,7.1,-3,0
4,2,11,-1,3,4:38,44,-44,-7
4,7,34,0,4,2:58,51.07,-44,0
4,1,44,2,2,10:36,14,14,0
4,3,39,29,3,8:51,14,14,7
4,2,39,0,2,4:24,28.07,-21,0
4,2,14,1,2,3:27,21.03,-18,0
4,8,32,,4,7:54,31.1,-21,-7
4,1,-30,-3,4,15:00,14.17,-3,-7
4,10,32,7,4,3:49,21.31,-10,0
4,2,32,16,1,2:14,7,7,0
4,1,42,0,3,12:16,24.07,17,0
4,5,5,5,3,9:06,28.17,-11,7
4,1,-37,1,3,1:22,35.24,-11,-7
4,2,3,3,4,6:12,42.24,-18,7
4,1,5,2,1,8:52,0,0,7
4,2,43,43,1,8:42,0.07,-7,7
4,5,40,26,2,13:35,14.21,-7,7
4,4,30,13,2,5:24,28.21,7,3
4,5,-30,,4,6:44,43.54,-11,-3
4,10,37,6,4,0:39,43.64,-21,0
4,1,-43,4,4,1:08,51.07,44,0
4,1,36,-1,4,10:16,46.1,36,0
4,1,-39,4,4,0:22,19.26,-7,0
4,3,17,0,3,2:01,21,-21,0
4,2,9,2,4,3:38,28.07,-21,7
4,11,11,11,4,2:34,28.07,-21,7
4,4,34,-9,3,2:54,25.24,-1,-7
4,3,40,,4,8:52,31.24,-7,0
4,1,24,0,4,3:49,31.24,-7,-7
4,9,43,11,1,9:04,0,0,7
4,6,30,,2,6:40,21.03,18,-7
4,1,38,0,4,2:05,35.17,18,7
4,1,-46,23,3,2:12,41.34,-7,7
4,1,29,29,4,11:56,43.4,-3,7
4,1,18,3,2,4:07,14.14,0,7
4,2,33,4,4,9:11,24.24,0,7
4,3,48,,4,6:21,23.31,-8,0
4,2,41,5,3,4:27,41.35,6,-7
4,1,1,1,4,9:11,41.45,-4,7
4,2,11,11,1,5:18,7,-7,7
4,1,42,11,3,0:59,24.21,-3,3
4,1,45,1,4,4:55,30.24,-6,0
4,4,42,,3,11:25,17.1,-7,0
4,6,37,36,4,14:21,23.17,-6,7
4,2,20,4,4,9:17,23.24,1,7
4,1,43,3,4,4:02,23.31,8,0
4,7,37,,4,2:27,23.31,8,0
4,3,41,0,1,9:52,0.03,-3,0
4,4,48,4,4,3:44,19.2,-1,0
4,15,-41,0,4,1:08,19.2,-1,0
4,1,-39,2,1,2:55,3.07,4,-7
4,1,31,8,3,2:02,13.28,15,7
4,12,36,-8,4,6:50,23.21,2,0
4,1,46,1,4,1:58,23.21,2,0
4,4,18,12,4,10:18,14.24,10,7
4,3,-32,25,4,1:34,41.45,-4,7
4,3,40,6,1,6:10,7.03,-4,7
4,1,-39,2,3,10:14,17.12,-5,7
4,3,39,2,3,6:59,14.21,-7,-3
4,7,-38,6,4,2:42,21.31,-10,0
4,10,-29,,4,1:05,21.31,-10,0
4,1,-39,3,1,2:42,10.03,-7,-7
4,2,42,3,2,4:25,17.03,-14,3
4,9,-48,-10,4,13:33,31.13,-18,-3
4,14,48,,4,8:30,34.13,-21,0
4,8,8,8,4,2:16,34.19,-15,7
4,1,25,22,1,10:18,0,0,7
4,1,29,2,2,0:48,27.11,16,7
4,8,29,24,3,4:25,34.25,9,7
4,1,45,0,4,12:30,40.32,8,0
4,3,30,1,4,4:45,40.32,8,-8
4,1,2,0,2,9:49,7.07,0,0
4,1,28,7,2,1:03,7.14,7,0
4,2,38,3,3,11:37,7.14,7,0
4,15,37,,4,3:09,24.14,-10,0
4,20,42,,4,3:09,24.14,-10,0
4,1,20,1,1,3:09,7,-7,3
4,1,19,19,2,3:17,7.14,7,7
4,3,33,6,3,3:07,7.35,28,7
4,1,14,1,4,13:49,7.42,35,7
4,5,30,0,3,2:28,10.31,-21,0
4,7,35,0,4,4:07,10.34,-24,0
4,1,-26,1,3,3:52,23.13,-10,7
4,1,27,11,3,0:21,23.13,-10,7
4,1,-36,-2,4,8:18,23.21,-2,0
4,5,32,,4,4:26,23.21,-2,0
4,8,26,11,3,7:23,35.1,-25,7
4,6,6,0,4,9:19,35.17,-18,0
4,3,-45,55,4,1:22,35.17,-18,7
4,7,33,-13,1,2:45,3,3,-7
4,10,30,,4,5:48,31.24,7,0
4,1,3,0,1,2:20,0.07,7,0
4,6,-39,0,4,15:00,13.35,-22,-7
4,9,37,-3,2,14:51,0,0,-7
4,10,-15,0,4,5:59,24.38,-14,0
4,9,-45,14,4,4:16,24.38,-14,0
4,6,22,10,4,2:26,24.38,-14,0
4,1,3,-5,4,1:32,24.38,-14,0
4,1,25,23,1,0:54,3.03,0,7
4,1,1,1,2,14:35,3.03,0,7
4,1,-49,3,3,11:49,13.13,0,0
4,4,42,0,3,3:06,13.13,0,-3
4,5,30,0,4,5:33,13.3,-17,0
4,10,24,16,4,2:17,13.3,-17,7
4,1,38,4,1,0:54,3.03,0,-7
4,2,48,,2,7:37,0.28,28,0
4,9,-43,,4,3:04,42.24,-18,0
4,9,-43,0,4,3:04,42.24,-18,0
4,6,38,9,3,4:25,30.2,10,7
4,1,22,0,2,14:22,21.07,14,0
4,4,37,5,4,6:11,42.07,35,7
4,10,40,25,4,2:13,14.09,-5,7
4,1,-49,0,1,1:30,0.07,-7,7
4,4,43,0,2,0:07,10.06,4,0
4,1,18,2,4,2:20,17.14,3,0
4,1,1,0,4,8:03,24.21,-3,-7
4,1,44,2,2,11:28,14.03,11,7
4,2,29,1,1,9:34,0,0,0
4,1,13,,3,8:51,10.07,3,3
4,4,37,,1,11:49,0,0,0
4,1,1,0,1,4:39,0,0,0
4,3,36,2,3,6:04,14.1,4,0
4,7,34,,1,7:40,3,-3,0
4,1,29,-1,3,5:47,13.13,0,0
4,13,42,15,4,6:15,27.2,-7,7
4,2,38,8,3,9:37,21.03,18,7
4,3,4,-2,4,0:43,38.1,28,0
4,7,33,,2,0:26,7.21,-14,0
4,9,27,10,3,6:35,7.21,-14,7
4,7,36,-4,2,10:19,3.21,18,0
4,1,33,3,4,13:15,17.38,21,3
4,12,12,2,4,1:42,17.41,24,7
4,1,17,0,1,12:09,0,0,7
4,1,-42,1,2,12:26,7.03,4,7
4,1,45,0,1,5:15,0,0,0
4,1,-40,4,2,9:15,0.07,7,7
4,6,22,0,4,5:39,24.38,14,0
4,3,40,11,2,11:10,14.07,7,0
4,3,32,4,2,6:11,14.07,7,0
4,8,30,0,2,4:02,14.07,7,0
4,6,31,7,1,6:10,0,0,7
4,2,32,15,4,0:37,31.28,3,0
4,6,31,7,1,6:10,0,0,7
4,2,32,15,4,0:37,31.28,3,0
4,4,-46,7,4,3:39,24.07,-17,0
4,7,17,7,4,1:51,24.07,-17,0
4,5,-45,13,4,8:08,44.27,-17,7
4,4,-24,6,4,5:18,51.34,-17,-7
4,10,35,14,1,0:11,14.07,-7,0
4,9,48,0,4,3:53,28.17,-11,7
4,4,30,30,3,1:25,28.13,-15,7
4,10,-25,0,4,1:49,34.24,-10,0
4,1,39,6,3,12:40,10.31,-21,7
4,7,30,,3,1:18,17.38,-21,-3